time, lat, lon, pm10
010/05/10T17:29:25,51.536908,-0.115271,10.6
010/05/10T17:29:33,51.536854,-0.114979,6.5
010/05/10T17:30:00,51.536828,-0.114516,8
010/05/10T17:30:13,51.536806,-0.114081,8
010/05/10T17:30:32,51.536871,-0.113961,10.2
010/05/10T17:30:37,51.536962,-0.113931,10.2
010/05/10T17:30:42,51.537055,-0.113911,10.2
010/05/10T17:30:49,51.537130,-0.113895,10.1
010/05/10T17:30:55,51.537229,-0.113851,10.1
010/05/10T17:31:04,51.537320,-0.113877,8.4
010/05/10T17:31:12,51.537413,-0.113878,8.4
010/05/10T17:31:19,51.537509,-0.113877,8.2
010/05/10T17:31:20,51.537519,-0.113873,8.2
010/05/10T17:31:27,51.537625,-0.113831,8.2
010/05/10T17:31:36,51.537721,-0.113798,12.2
010/05/10T17:31:39,51.537752,-0.113786,12.2
010/05/10T17:31:46,51.537842,-0.113768,8.3
010/05/10T17:31:53,51.537923,-0.113760,8.3
010/05/10T17:32:03,51.538049,-0.113722,8
010/05/10T17:32:14,51.538169,-0.113667,11.1
010/05/10T17:32:33,51.538387,-0.113557,8.6
010/05/10T17:32:44,51.538447,-0.113589,8.8
010/05/10T17:33:20,51.538549,-0.113674,13.7
010/05/10T17:33:38,51.538572,-0.113670,6.7
010/05/10T17:33:45,51.538580,-0.113669,4.7
010/05/10T17:33:46,51.538580,-0.113669,4.7
010/05/10T17:33:53,51.538601,-0.113687,4.7
010/05/10T17:33:57,51.538602,-0.113689,4.7
010/05/10T17:34:03,51.538617,-0.113708,11.3
010/05/10T17:34:54,51.538895,-0.113625,11.2
010/05/10T17:35:12,51.539055,-0.113604,10.4
010/05/10T17:35:29,51.539202,-0.113588,9.9
010/05/10T17:35:40,51.539304,-0.113605,9.9
010/05/10T17:35:46,51.539416,-0.113612,8.3
010/05/10T17:35:51,51.539530,-0.113602,8.3
010/05/10T17:35:59,51.539803,-0.113536,11.1
010/05/10T17:36:19,51.540080,-0.113540,9.8
010/05/10T17:36:28,51.540172,-0.113513,9.8
010/05/10T17:36:36,51.540287,-0.113506,18.1
010/05/10T17:36:41,51.540398,-0.113503,18.1
010/05/10T17:36:53,51.540670,-0.113503,12.3
010/05/10T17:36:57,51.540670,-0.113503,12.3
010/05/10T17:36:58,51.540756,-0.113434,12.3
010/05/10T17:37:24,51.540793,-0.113164,13.8
010/05/10T17:37:40,51.540773,-0.112711,10.3
010/05/10T17:37:51,51.540802,-0.112481,10.3
010/05/10T17:38:06,51.540874,-0.112322,13.6
010/05/10T17:38:27,51.541166,-0.112302,9.1
010/05/10T17:38:34,51.541253,-0.112248,11.8
010/05/10T17:38:54,51.541327,-0.112128,16.3
010/05/10T17:39:07,51.541423,-0.111986,12.2
010/05/10T17:39:16,51.541461,-0.111729,12.2
010/05/10T17:39:29,51.541512,-0.111261,14.3
010/05/10T17:39:41,51.541526,-0.111000,14.3
010/05/10T17:39:43,51.541526,-0.111000,14.3
010/05/10T17:39:52,51.541518,-0.110822,16.7
010/05/10T17:39:54,51.541518,-0.110822,16.7
010/05/10T17:40:21,51.541578,-0.110446,21
010/05/10T17:40:35,51.541632,-0.110112,16
010/05/10T17:40:58,51.541885,-0.109944,10.1
010/05/10T17:41:06,51.542008,-0.109951,9.3
010/05/10T17:41:49,51.542150,-0.109667,10.8
010/05/10T17:42:07,51.542235,-0.109151,8.4
010/05/10T17:42:09,51.542235,-0.109151,8.4
010/05/10T17:42:16,51.542275,-0.108697,13.6
010/05/10T17:42:28,51.542320,-0.108392,13.6
010/05/10T17:42:34,51.542347,-0.108270,11
010/05/10T17:42:41,51.542419,-0.108070,11
010/05/10T17:42:48,51.542461,-0.107927,12.3
010/05/10T17:42:55,51.542502,-0.107765,12.3
010/05/10T17:43:02,51.542542,-0.107598,13.6
010/05/10T17:43:13,51.542570,-0.107455,13.6
010/05/10T17:43:25,51.542594,-0.107169,8.3
010/05/10T17:43:38,51.542611,-0.106997,14.2
010/05/10T17:43:44,51.542620,-0.106832,7.5
010/05/10T17:43:45,51.542620,-0.106832,7.5
010/05/10T17:43:48,51.542634,-0.106686,7.5
010/05/10T17:43:54,51.542694,-0.106504,7.5
010/05/10T17:43:59,51.542730,-0.106368,12.6
010/05/10T17:44:05,51.542763,-0.106229,12.6
010/05/10T17:44:10,51.542784,-0.106074,12.6
010/05/10T17:44:15,51.542794,-0.105920,17.2
010/05/10T17:44:21,51.542808,-0.105782,17.2
010/05/10T17:44:27,51.542831,-0.105636,17.2
010/05/10T17:44:34,51.542856,-0.105486,16.5
010/05/10T17:44:42,51.542888,-0.105331,16.5
010/05/10T17:44:47,51.542908,-0.105186,14.1
010/05/10T17:44:55,51.542935,-0.105019,14.1
010/05/10T17:45:01,51.542951,-0.104853,9.8
010/05/10T17:45:07,51.542968,-0.104678,9.8
010/05/10T17:45:18,51.543003,-0.104401,10.2
010/05/10T17:45:27,51.543035,-0.104247,10.2
010/05/10T17:45:36,51.543054,-0.104094,15
010/05/10T17:46:05,51.543183,-0.103658,16.1
010/05/10T17:46:16,51.543152,-0.103517,13.9
010/05/10T17:46:28,51.543115,-0.103376,13.9
010/05/10T17:46:43,51.543123,-0.103142,10.7
010/05/10T17:46:58,51.543163,-0.102736,12.3
010/05/10T17:47:01,51.543163,-0.102736,13.6
010/05/10T17:47:05,51.543183,-0.102552,13.6
010/05/10T17:47:12,51.543198,-0.102356,13.6
010/05/10T17:47:22,51.543212,-0.102154,10.5
010/05/10T17:47:30,51.543234,-0.101995,16.1
010/05/10T17:47:30,51.543238,-0.101976,16.1
010/05/10T17:47:38,51.543266,-0.101803,16.1
010/05/10T17:47:46,51.543292,-0.101653,10.3
010/05/10T17:47:49,51.543292,-0.101653,10.3
010/05/10T17:47:52,51.543314,-0.101501,10.3
010/05/10T17:48:00,51.543342,-0.101359,9.7
010/05/10T17:48:07,51.543401,-0.101238,9.7
010/05/10T17:48:18,51.543495,-0.101145,14.6
010/05/10T17:48:25,51.543585,-0.101010,14.6
010/05/10T17:48:31,51.543627,-0.100887,7.2
010/05/10T17:48:36,51.543664,-0.100745,7.2
010/05/10T17:48:43,51.543651,-0.100576,7.2
010/05/10T17:49:00,51.543619,-0.100395,18.7
010/05/10T17:49:09,51.543648,-0.100248,18.7
010/05/10T17:49:19,51.543702,-0.100019,9.2
010/05/10T17:49:23,51.543707,-0.100001,9.2
010/05/10T17:49:27,51.543740,-0.099864,9.2
010/05/10T17:49:37,51.543751,-0.099701,14.3
010/05/10T17:49:41,51.543757,-0.099601,14.3
010/05/10T17:49:54,51.543857,-0.099423,10.2
010/05/10T17:49:56,51.543857,-0.099423,10.2
010/05/10T17:50:01,51.543934,-0.099330,9.7
010/05/10T17:50:08,51.543971,-0.099193,9.7
010/05/10T17:50:17,51.544028,-0.099074,17.8
010/05/10T17:50:28,51.544182,-0.098956,17.8
010/05/10T17:50:42,51.544329,-0.098618,18.1
010/05/10T17:50:45,51.544333,-0.098594,13
010/05/10T17:50:47,51.544348,-0.098439,13
010/05/10T17:50:54,51.544360,-0.098281,13
010/05/10T17:51:05,51.544392,-0.098047,15.4
010/05/10T17:51:14,51.544460,-0.097885,13.8
010/05/10T17:51:17,51.544460,-0.097885,13.8
010/05/10T17:51:22,51.544515,-0.097757,13.8
010/05/10T17:51:35,51.544472,-0.097515,12.7
010/05/10T17:51:57,51.544167,-0.097303,9.5
010/05/10T17:52:05,51.544024,-0.097205,11.3
010/05/10T17:52:12,51.543930,-0.097165,11.3
010/05/10T17:52:38,51.543655,-0.097184,8.3
010/05/10T17:52:51,51.543469,-0.097184,12.5
010/05/10T17:53:01,51.543332,-0.097130,13
010/05/10T17:53:14,51.543180,-0.097131,8.9
010/05/10T17:53:26,51.543017,-0.097121,8.9
010/05/10T17:53:35,51.542910,-0.097069,14.8
010/05/10T17:53:36,51.542910,-0.097069,14.8
010/05/10T17:53:49,51.542901,-0.096920,14
010/05/10T17:53:55,51.542923,-0.096821,14
010/05/10T17:54:01,51.542977,-0.096675,8.1
010/05/10T17:54:10,51.543088,-0.096476,8.1
010/05/10T17:54:11,51.543088,-0.096476,8.1
010/05/10T17:54:16,51.543140,-0.096356,6.7
010/05/10T17:54:26,51.543215,-0.096198,6.7
010/05/10T17:54:37,51.543276,-0.096090,7.6
010/05/10T17:54:46,51.543347,-0.095890,10.4
010/05/10T17:54:47,51.543347,-0.095875,10.4
010/05/10T17:54:55,51.543312,-0.095733,10.4
010/05/10T17:55:02,51.543244,-0.095623,10.6
010/05/10T17:55:08,51.543171,-0.095525,10.6
010/05/10T17:55:14,51.543104,-0.095425,12.6
010/05/10T17:55:22,51.543002,-0.095308,12.6
010/05/10T17:55:25,51.542993,-0.095304,12.6
010/05/10T17:55:29,51.542904,-0.095262,16.5
010/05/10T17:55:43,51.542796,-0.095233,16.5
010/05/10T17:55:56,51.542637,-0.095176,7.2
010/05/10T17:56:09,51.542471,-0.095081,5.1
010/05/10T17:56:16,51.542388,-0.095012,12.3
010/05/10T17:56:24,51.542271,-0.094939,12.3
010/05/10T17:56:31,51.542166,-0.094884,6.9
010/05/10T17:56:37,51.542078,-0.094836,6.9
010/05/10T17:56:43,51.541983,-0.094791,6.9
010/05/10T17:56:47,51.541893,-0.094751,10
010/05/10T17:56:53,51.541781,-0.094714,10
010/05/10T17:57:01,51.541695,-0.094664,10.4
010/05/10T17:57:02,51.541676,-0.094643,10.4
010/05/10T17:57:15,51.541579,-0.094477,10.7
010/05/10T17:57:22,51.541539,-0.094345,10.7
010/05/10T17:57:38,51.541367,-0.094037,14.8
010/05/10T17:57:45,51.541311,-0.093990,9
010/05/10T17:57:49,51.541215,-0.093900,9
010/05/10T17:57:58,51.541120,-0.093787,9
010/05/10T17:58:03,51.541042,-0.093682,14.5
010/05/10T17:58:08,51.540967,-0.093574,14.5
010/05/10T17:58:15,51.540895,-0.093476,13.8
010/05/10T17:58:17,51.540889,-0.093466,13.8
010/05/10T17:58:25,51.540802,-0.093315,13.8
010/05/10T17:58:31,51.540743,-0.093201,12.1
010/05/10T17:58:37,51.540671,-0.093049,12.1
010/05/10T17:58:42,51.540617,-0.092933,12.1
010/05/10T17:58:47,51.540557,-0.092818,12
010/05/10T17:58:54,51.540489,-0.092706,12
010/05/10T17:59:01,51.540411,-0.092602,11.3
010/05/10T17:59:06,51.540335,-0.092491,11.3
010/05/10T17:59:15,51.540214,-0.092318,10.7
010/05/10T17:59:20,51.540148,-0.092215,10.7
010/05/10T17:59:26,51.540081,-0.092109,10.7
010/05/10T17:59:33,51.539980,-0.091962,14.4
010/05/10T17:59:34,51.539980,-0.091962,14.4
