time, lat, lon, pm2.5
010/05/20T18:03:27,51.534719,-0.122346,3.93
010/05/20T18:03:28,51.534719,-0.122346,3.93
010/05/20T18:03:45,51.534194,-0.122201,3.76
010/05/20T18:04:09,51.534085,-0.122305,3.72
010/05/20T18:04:18,51.533940,-0.122295,4.16
010/05/20T18:04:23,51.533857,-0.122294,4.16
010/05/20T18:04:32,51.533715,-0.122301,3.75
010/05/20T18:04:34,51.533695,-0.122302,3.75
010/05/20T18:04:43,51.533562,-0.122230,3.67
010/05/20T18:05:04,51.533500,-0.121937,3.42
010/05/20T18:05:25,51.533484,-0.121360,3.78
010/05/20T18:05:42,51.533479,-0.121020,4.18
010/05/20T18:05:52,51.533485,-0.120773,4.18
010/05/20T18:06:12,51.533469,-0.120318,3.66
010/05/20T18:06:35,51.533460,-0.119714,3.52
010/05/20T18:06:49,51.533466,-0.119434,3.25
010/05/20T18:07:01,51.533468,-0.119176,3.85
010/05/20T18:07:06,51.533464,-0.119049,3.85
010/05/20T18:07:16,51.533411,-0.118838,3.38
010/05/20T18:07:51,51.533154,-0.119144,3.15
010/05/20T18:08:15,51.532941,-0.119422,3.61
010/05/20T18:08:21,51.532879,-0.119493,3.61
010/05/20T18:08:45,51.532677,-0.119863,3.29
010/05/20T18:09:04,51.532496,-0.120167,3.57
010/05/20T18:09:13,51.532335,-0.120371,2.96
010/05/20T18:09:16,51.532335,-0.120371,2.96
010/05/20T18:09:22,51.532136,-0.120542,2.96
010/05/20T18:09:31,51.531983,-0.120672,3.31
010/05/20T18:09:37,51.531845,-0.120743,3.31
010/05/20T18:09:43,51.531705,-0.120808,3.13
010/05/20T18:09:50,51.531504,-0.120891,3.13
010/05/20T18:09:57,51.531375,-0.120923,3.48
010/05/20T18:10:04,51.531240,-0.120951,3.48
010/05/20T18:10:12,51.531096,-0.120983,3.02
010/05/20T18:10:23,51.530924,-0.121016,3.02
010/05/20T18:10:26,51.530916,-0.121005,3.49
010/05/20T18:10:36,51.530828,-0.120732,3.49
010/05/20T18:10:48,51.530792,-0.120477,3.74
010/05/20T18:10:53,51.530794,-0.120342,3.74
010/05/20T18:11:00,51.530796,-0.120113,3.38
010/05/20T18:11:28,51.530835,-0.119701,3.17
010/05/20T18:11:36,51.530880,-0.119450,3.17
010/05/20T18:11:38,51.530885,-0.119430,3.17
010/05/20T18:11:49,51.530964,-0.119082,3.62
010/05/20T18:12:03,51.531044,-0.118648,3.3
010/05/20T18:12:10,51.531096,-0.118434,3.2
010/05/20T18:12:29,51.531170,-0.117931,2.9
010/05/20T18:12:38,51.531166,-0.117702,2.9
010/05/20T18:12:52,51.531091,-0.117431,2.82
010/05/20T18:12:58,51.531111,-0.117314,3.39
010/05/20T18:13:05,51.531132,-0.117070,3.39
010/05/20T18:13:14,51.531104,-0.116929,2.89
010/05/20T18:13:27,51.531082,-0.116696,3.06
010/05/20T18:13:35,51.531098,-0.116442,3.06
010/05/20T18:13:42,51.531112,-0.116221,3.39
010/05/20T18:13:49,51.531132,-0.115998,3.39
010/05/20T18:13:56,51.531183,-0.115832,2.58
010/05/20T18:14:05,51.531230,-0.115615,2.58
010/05/20T18:14:13,51.531276,-0.115360,3.22
010/05/20T18:14:24,51.531318,-0.115146,3.22
010/05/20T18:14:32,51.531350,-0.114936,2.45
010/05/20T18:14:43,51.531365,-0.114684,3.03
010/05/20T18:14:50,51.531404,-0.114467,3.03
010/05/20T18:14:59,51.531440,-0.114242,3.38
010/05/20T18:15:08,51.531467,-0.114028,3.38
010/05/20T18:15:21,51.531485,-0.113716,3.32
010/05/20T18:15:33,51.531475,-0.113483,2.83
010/05/20T18:15:45,51.531475,-0.113210,3.22
010/05/20T18:15:57,51.531504,-0.112995,2.89
010/05/20T18:16:02,51.531504,-0.112923,2.89
010/05/20T18:16:15,51.531529,-0.112637,3.01
010/05/20T18:16:23,51.531509,-0.112412,3.01
010/05/20T18:16:32,51.531478,-0.112193,2.72
010/05/20T18:16:42,51.531436,-0.111984,2.89
010/05/20T18:16:50,51.531455,-0.111833,2.89
010/05/20T18:17:00,51.531487,-0.111588,2.73
010/05/20T18:17:01,51.531490,-0.111572,2.73
010/05/20T18:17:23,51.531594,-0.111316,2.71
010/05/20T18:18:08,51.531710,-0.111194,2.24
010/05/20T18:18:10,51.531717,-0.111175,2.68
010/05/20T18:18:20,51.531740,-0.110957,2.68
010/05/20T18:18:31,51.531772,-0.110687,2.81
010/05/20T18:18:41,51.531785,-0.110467,2.44
010/05/20T18:18:55,51.531833,-0.110200,2.76
010/05/20T18:18:56,51.531835,-0.110186,2.76
010/05/20T18:19:11,51.531859,-0.109901,2.24
010/05/20T18:19:20,51.531876,-0.109634,2.24
010/05/20T18:19:27,51.531920,-0.109421,2.81
010/05/20T18:19:34,51.531935,-0.109288,2.81
010/05/20T18:19:50,51.531947,-0.108976,2.7
010/05/20T18:19:56,51.531951,-0.108806,2.62
010/05/20T18:20:07,51.531964,-0.108573,2.62
010/05/20T18:20:17,51.531966,-0.108317,2.37
010/05/20T18:20:27,51.531963,-0.108087,2.43
010/05/20T18:20:33,51.531962,-0.107859,2.43
010/05/20T18:20:40,51.531975,-0.107641,2.45
010/05/20T18:20:49,51.531988,-0.107411,2.45
010/05/20T18:21:06,51.532023,-0.107089,2.59
010/05/20T18:21:15,51.532033,-0.106872,2.4
010/05/20T18:21:25,51.532037,-0.106638,2.47
010/05/20T18:21:26,51.532038,-0.106624,2.47
010/05/20T18:21:54,51.531988,-0.106304,2.58
010/05/20T18:22:00,51.531986,-0.106298,2.66
010/05/20T18:22:20,51.531913,-0.106106,2.87
010/05/20T18:22:21,51.531909,-0.106096,2.87
010/05/20T18:22:55,51.531879,-0.105869,2.22
010/05/20T18:23:00,51.531849,-0.105830,2.22
010/05/20T18:23:07,51.531740,-0.105652,2.22
010/05/20T18:23:14,51.531646,-0.105477,2.34
010/05/20T18:23:16,51.531646,-0.105477,2.34
010/05/20T18:23:23,51.531524,-0.105274,2.34
010/05/20T18:23:37,51.531452,-0.104940,2.52
010/05/20T18:23:40,51.531447,-0.104710,2.23
010/05/20T18:23:48,51.531407,-0.104502,2.23
010/05/20T18:24:02,51.531369,-0.104197,2.29
010/05/20T18:24:13,51.531318,-0.103931,2.84
010/05/20T18:24:27,51.531223,-0.103560,2.31
010/05/20T18:24:38,51.531211,-0.103337,2.31
010/05/20T18:24:43,51.531207,-0.103266,2.25
010/05/20T18:24:49,51.531165,-0.103043,2.25
010/05/20T18:25:04,51.531086,-0.102763,2.56
010/05/20T18:25:15,51.531036,-0.102516,2.05
010/05/20T18:25:25,51.530983,-0.102245,2.52
010/05/20T18:25:26,51.530971,-0.102200,2.52
010/05/20T18:25:32,51.530883,-0.102022,2.52
010/05/20T18:26:01,51.530779,-0.101875,2.24
010/05/20T18:26:34,51.530724,-0.101638,2.18
010/05/20T18:26:42,51.530711,-0.101457,2.15
010/05/20T18:26:52,51.530697,-0.101232,2.15
010/05/20T18:27:04,51.530650,-0.100942,2.78
010/05/20T18:27:15,51.530582,-0.100805,2.77
010/05/20T18:27:23,51.530526,-0.100600,2.77
010/05/20T18:27:31,51.530466,-0.100316,2.58
010/05/20T18:27:38,51.530413,-0.100066,2.58
010/05/20T18:27:48,51.530339,-0.099870,2.25
010/05/20T18:27:58,51.530275,-0.099661,2.43
010/05/20T18:28:08,51.530203,-0.099440,2.43
010/05/20T18:28:18,51.530167,-0.099188,2.46
010/05/20T18:28:29,51.530124,-0.098967,2.29
010/05/20T18:28:36,51.530067,-0.098747,2.29
010/05/20T18:28:45,51.529982,-0.098550,2.58
