time, lat, lon, pm1.0
010/05/20T08:07:35,51.531644,-0.111036,5.83
010/05/20T08:08:14,51.531668,-0.111263,6.12
010/05/20T08:08:21,51.531656,-0.111502,6.12
010/05/20T08:08:29,51.531618,-0.111731,5.86
010/05/20T08:08:40,51.531568,-0.111946,5.37
010/05/20T08:08:54,51.531525,-0.112158,5.37
010/05/20T08:09:09,51.531471,-0.112392,4.84
010/05/20T08:09:22,51.531440,-0.112615,4.98
010/05/20T08:09:24,51.531431,-0.112683,4.98
010/05/20T08:09:30,51.531411,-0.112901,4.92
010/05/20T08:09:37,51.531402,-0.113136,4.92
010/05/20T08:09:52,51.531389,-0.113467,4.25
010/05/20T08:10:01,51.531384,-0.113540,4.08
010/05/20T08:10:14,51.531338,-0.113824,3.95
010/05/20T08:10:25,51.531295,-0.113986,3.85
010/05/20T08:10:50,51.531294,-0.114210,3.49
010/05/20T08:10:51,51.531299,-0.114224,3.49
010/05/20T08:11:04,51.531356,-0.114512,3.8
010/05/20T08:11:17,51.531360,-0.114759,3.52
010/05/20T08:11:30,51.531358,-0.114990,3.69
010/05/20T08:11:37,51.531329,-0.115219,3.69
010/05/20T08:11:48,51.531302,-0.115433,3.42
010/05/20T08:11:57,51.531276,-0.115704,3.45
010/05/20T08:12:10,51.531243,-0.115987,3.18
010/05/20T08:12:18,51.531229,-0.116296,3.18
010/05/20T08:12:23,51.531219,-0.116529,3.18
010/05/20T08:12:28,51.531193,-0.116766,3.4
010/05/20T08:12:33,51.531185,-0.117027,3.4
010/05/20T08:12:45,51.531177,-0.117212,3.27
010/05/20T08:13:02,51.531125,-0.117450,2.81
010/05/20T08:13:14,51.531092,-0.117686,3.04
010/05/20T08:13:23,51.531077,-0.117954,3.04
010/05/20T08:13:41,51.531107,-0.118395,3.37
010/05/20T08:13:48,51.531124,-0.118570,3.37
010/05/20T08:14:01,51.531165,-0.118852,3.17
010/05/20T08:14:08,51.531170,-0.119072,3.17
010/05/20T08:14:18,51.531110,-0.119280,3.25
010/05/20T08:14:23,51.531094,-0.119351,3.25
010/05/20T08:14:33,51.531013,-0.119541,2.8
010/05/20T08:14:41,51.530933,-0.119771,2.83
010/05/20T08:14:49,51.530846,-0.119972,2.83
010/05/20T08:15:01,51.530817,-0.120212,3.21
010/05/20T08:15:33,51.530765,-0.120811,3.12
010/05/20T08:15:41,51.530782,-0.120972,3.3
010/05/20T08:15:54,51.530801,-0.121279,3.3
010/05/20T08:15:59,51.530802,-0.121335,2.94
010/05/20T08:16:06,51.530839,-0.121622,2.94
010/05/20T08:16:37,51.530818,-0.122109,2.99
010/05/20T08:16:46,51.530818,-0.122118,2.95
010/05/20T08:17:17,51.530760,-0.122330,2.8
010/05/20T08:17:48,51.530743,-0.122556,2.72
010/05/20T08:17:48,51.530746,-0.122566,2.72
010/05/20T08:18:38,51.531007,-0.122414,2.88
010/05/20T08:18:52,51.531278,-0.122352,2.64
010/05/20T08:19:17,51.531548,-0.122296,2.63
010/05/20T08:19:48,51.532005,-0.122182,2.69
010/05/20T08:19:51,51.532005,-0.122182,2.69
010/05/20T08:20:06,51.532288,-0.122198,2.8
010/05/20T08:20:23,51.532564,-0.122219,2.82
010/05/20T08:20:26,51.532564,-0.122219,2.83
010/05/20T08:20:33,51.532848,-0.122246,2.83
010/05/20T08:20:38,51.533054,-0.122276,2.83
010/05/20T08:20:48,51.533190,-0.122386,2.62
010/05/20T08:20:57,51.533343,-0.122398,2.62
010/05/20T08:20:58,51.533347,-0.122400,2.62
010/05/20T08:21:17,51.533546,-0.122457,2.62
010/05/20T08:21:24,51.533688,-0.122382,2.62
010/05/20T08:21:31,51.533818,-0.122320,2.71
010/05/20T08:21:38,51.533960,-0.122261,2.71
010/05/20T08:21:47,51.534098,-0.122214,2.76
