time, lat, lon, pm2.5
010/05/18T17:57:08,51.531816,-0.110357,4.84
010/05/18T17:57:19,51.531871,-0.110132,4.84
010/05/18T17:57:33,51.531930,-0.109899,4.84
010/05/18T17:57:43,51.531950,-0.109662,4.57
010/05/18T17:57:52,51.531950,-0.109422,4.57
010/05/18T17:58:14,51.531926,-0.109022,4.9
010/05/18T17:58:31,51.531916,-0.108581,4.61
010/05/18T17:58:40,51.531915,-0.108286,4.24
010/05/18T17:58:55,51.531924,-0.108038,4.79
010/05/18T17:59:02,51.531946,-0.107810,4.79
010/05/18T17:59:10,51.531970,-0.107589,4.6
010/05/18T17:59:21,51.531985,-0.107346,4.6
010/05/18T17:59:28,51.532002,-0.107117,4.9
010/05/18T17:59:39,51.532025,-0.106871,4.9
010/05/18T17:59:48,51.532052,-0.106643,4.3
010/05/18T17:59:59,51.532060,-0.106409,4.67
010/05/18T18:00:13,51.531987,-0.106189,5.04
010/05/18T18:00:25,51.531972,-0.106115,5.15
010/05/18T18:01:48,51.532021,-0.105910,5.04
010/05/18T18:02:04,51.531993,-0.105644,4.74
010/05/18T18:02:12,51.531858,-0.105480,4.87
010/05/18T18:02:22,51.531735,-0.105329,4.87
010/05/18T18:02:35,51.531656,-0.105124,4.79
010/05/18T18:02:44,51.531605,-0.104878,4.91
010/05/18T18:02:49,51.531556,-0.104729,4.91
010/05/18T18:03:00,51.531529,-0.104492,4.37
010/05/18T18:03:12,51.531499,-0.103941,4.34
010/05/18T18:03:24,51.531501,-0.103662,4.34
010/05/18T18:03:35,51.531448,-0.103414,4.58
010/05/18T18:03:46,51.531408,-0.103229,4.61
010/05/18T18:03:55,51.531368,-0.103013,4.38
010/05/18T18:04:06,51.531334,-0.102770,4.38
010/05/18T18:04:16,51.531301,-0.102545,4.41
010/05/18T18:04:27,51.531242,-0.102334,4.86
010/05/18T18:04:29,51.531229,-0.102289,4.86
010/05/18T18:04:43,51.531177,-0.102071,4.4
010/05/18T18:04:55,51.531106,-0.101748,4.47
010/05/18T18:05:02,51.531064,-0.101507,4.47
010/05/18T18:05:11,51.531005,-0.101296,4.72
010/05/18T18:05:25,51.530895,-0.101031,4.18
010/05/18T18:05:30,51.530843,-0.100901,4.18
010/05/18T18:05:35,51.530777,-0.100705,4.18
