time, lat, lon, pm10
010/05/24T17:14:21,51.535341,-0.117100,56
010/05/24T17:14:21,51.535341,-0.117100,56
010/05/24T17:14:24,51.535341,-0.117100,56
010/05/24T17:14:25,51.535341,-0.117100,56
010/05/24T17:14:25,51.535341,-0.117100,56
010/05/24T17:14:26,51.535341,-0.117100,56
010/05/24T17:14:26,51.535341,-0.117100,56
010/05/24T17:14:27,51.535341,-0.117100,56
010/05/24T17:14:29,51.535341,-0.117100,56
010/05/24T17:14:29,51.535341,-0.117100,56
010/05/24T17:14:30,51.535919,-0.116617,56
010/05/24T17:14:30,51.535919,-0.116617,56
010/05/24T17:14:31,51.535919,-0.116617,56
010/05/24T17:14:32,51.535919,-0.116617,56
010/05/24T17:14:55,51.536351,-0.116511,56
010/05/24T17:15:04,51.536366,-0.116509,56
010/05/24T17:15:07,51.536512,-0.116508,56
010/05/24T17:15:19,51.536658,-0.116510,56
010/05/24T17:15:37,51.536816,-0.116486,56
010/05/24T17:15:45,51.536844,-0.116467,56
010/05/24T17:16:00,51.536935,-0.116269,56
010/05/24T17:16:24,51.536954,-0.116009,56
010/05/24T17:16:33,51.536939,-0.115764,56
010/05/24T17:16:36,51.536935,-0.115682,56
010/05/24T17:16:46,51.536911,-0.115455,56
010/05/24T17:16:52,51.536892,-0.115378,56
010/05/24T17:17:05,51.536812,-0.115153,56
010/05/24T17:17:20,51.536718,-0.114979,56
010/05/24T17:17:37,51.536674,-0.114603,56
010/05/24T17:17:39,51.536669,-0.114529,56
010/05/24T17:17:52,51.536638,-0.114286,56
010/05/24T17:18:07,51.536702,-0.114071,56
010/05/24T17:18:17,51.536827,-0.113990,56
010/05/24T17:18:19,51.536858,-0.113980,56
010/05/24T17:18:30,51.536999,-0.113959,56
010/05/24T17:18:43,51.537164,-0.113930,56
010/05/24T17:18:52,51.537323,-0.113855,56
010/05/24T17:19:02,51.537463,-0.113794,56
010/05/24T17:19:14,51.537619,-0.113754,56
010/05/24T17:19:28,51.537779,-0.113728,56
010/05/24T17:19:39,51.537918,-0.113716,56
010/05/24T17:19:51,51.538053,-0.113685,56
010/05/24T17:20:04,51.538196,-0.113642,56
010/05/24T17:20:20,51.538337,-0.113592,56
010/05/24T17:20:40,51.538499,-0.113604,56
010/05/24T17:21:05,51.538641,-0.113635,56
010/05/24T17:22:00,51.538778,-0.113667,56
010/05/24T17:22:13,51.538917,-0.113694,56
010/05/24T17:22:32,51.539067,-0.113634,56
010/05/24T17:22:47,51.539206,-0.113642,56
010/05/24T17:22:59,51.539344,-0.113699,56
010/05/24T17:23:10,51.539483,-0.113773,56
010/05/24T17:23:27,51.539667,-0.113806,56
010/05/24T17:23:56,51.539971,-0.113713,56
010/05/24T17:24:13,51.540242,-0.113659,56
010/05/24T17:24:35,51.540502,-0.113532,56
010/05/24T17:24:47,51.540639,-0.113420,56
010/05/24T17:24:49,51.540665,-0.113395,56
010/05/24T17:24:59,51.540756,-0.113212,56
010/05/24T17:25:13,51.540799,-0.112997,56
010/05/24T17:25:33,51.540782,-0.112770,56
010/05/24T17:25:52,51.540893,-0.112602,56
010/05/24T17:26:25,51.541167,-0.112373,56
010/05/24T17:26:39,51.541417,-0.112176,56
010/05/24T17:26:57,51.541573,-0.111899,56
010/05/24T17:27:24,51.541645,-0.111448,56
010/05/24T17:27:54,51.541643,-0.111010,56
010/05/24T17:28:20,51.541604,-0.110581,56
010/05/24T17:28:40,51.541674,-0.110130,56
010/05/24T17:28:51,51.541823,-0.110022,56
010/05/24T17:28:58,51.541966,-0.110047,56
010/05/24T17:29:15,51.542195,-0.109975,56
010/05/24T17:29:31,51.542269,-0.109794,56
010/05/24T17:29:36,51.542290,-0.109701,56
010/05/24T17:30:06,51.542314,-0.109341,56
010/05/24T17:30:17,51.542320,-0.109085,56
010/05/24T17:30:27,51.542345,-0.108845,56
010/05/24T17:30:35,51.542373,-0.108604,56
010/05/24T17:30:44,51.542415,-0.108392,56
010/05/24T17:31:12,51.542514,-0.107669,56
010/05/24T17:31:13,51.542516,-0.107651,56
010/05/24T17:31:16,51.542516,-0.107651,56
010/05/24T17:31:16,51.542516,-0.107651,56
010/05/24T17:31:16,51.542516,-0.107651,56
010/05/24T17:31:17,51.542516,-0.107651,56
010/05/24T17:31:21,51.542544,-0.107540,56
010/05/24T17:31:21,51.542544,-0.107540,56
010/05/24T17:31:33,51.542609,-0.107262,56
010/05/24T17:31:55,51.542708,-0.106827,56
010/05/24T17:32:18,51.542822,-0.106611,56
010/05/24T17:32:25,51.542842,-0.106523,56
010/05/24T17:33:04,51.542999,-0.105931,56
010/05/24T17:33:19,51.543023,-0.105494,56
010/05/24T17:33:31,51.543046,-0.105150,56
010/05/24T17:33:41,51.543030,-0.104873,56
010/05/24T17:33:54,51.542994,-0.104659,56
010/05/24T17:34:09,51.542974,-0.104429,56
010/05/24T17:34:29,51.542974,-0.104093,56
010/05/24T17:34:42,51.543008,-0.103851,56
010/05/24T17:34:57,51.543053,-0.103634,56
010/05/24T17:35:27,51.543164,-0.103391,56
010/05/24T17:36:07,51.543237,-0.102750,56
010/05/24T17:36:27,51.543270,-0.102313,56
010/05/24T17:36:55,51.543264,-0.101878,56
010/05/24T17:37:22,51.543560,-0.101471,56
010/05/24T17:37:33,51.543662,-0.101309,56
010/05/24T17:37:51,51.543731,-0.100974,56
010/05/24T17:38:10,51.543770,-0.100648,56
010/05/24T17:38:27,51.543840,-0.100291,56
010/05/24T17:38:32,51.543870,-0.100173,56
010/05/24T17:38:40,51.543925,-0.099952,56
010/05/24T17:38:49,51.543991,-0.099724,56
010/05/24T17:39:20,51.544119,-0.099238,56
010/05/24T17:39:37,51.544304,-0.098911,56
010/05/24T17:39:59,51.544407,-0.098506,56
