time, lat, lon, pm1.0
010/05/20T18:03:27,51.534719,-0.122346,1.13
010/05/20T18:03:28,51.534719,-0.122346,1.13
010/05/20T18:03:45,51.534194,-0.122201,1.08
010/05/20T18:04:09,51.534085,-0.122305,1.07
010/05/20T18:04:18,51.533940,-0.122295,1.19
010/05/20T18:04:23,51.533857,-0.122294,1.19
010/05/20T18:04:32,51.533715,-0.122301,1.09
010/05/20T18:04:34,51.533695,-0.122302,1.09
010/05/20T18:04:43,51.533562,-0.122230,1.13
010/05/20T18:05:04,51.533500,-0.121937,1.11
010/05/20T18:05:25,51.533484,-0.121360,1.12
010/05/20T18:05:42,51.533479,-0.121020,1.02
010/05/20T18:05:52,51.533485,-0.120773,1.02
010/05/20T18:06:12,51.533469,-0.120318,1.06
010/05/20T18:06:35,51.533460,-0.119714,1.08
010/05/20T18:06:49,51.533466,-0.119434,.93
010/05/20T18:07:01,51.533468,-0.119176,1.03
010/05/20T18:07:06,51.533464,-0.119049,1.03
010/05/20T18:07:16,51.533411,-0.118838,.97
010/05/20T18:07:51,51.533154,-0.119144,.96
010/05/20T18:08:15,51.532941,-0.119422,1.07
010/05/20T18:08:21,51.532879,-0.119493,1.07
010/05/20T18:08:45,51.532677,-0.119863,.97
010/05/20T18:09:04,51.532496,-0.120167,.94
010/05/20T18:09:13,51.532335,-0.120371,.96
010/05/20T18:09:16,51.532335,-0.120371,.96
010/05/20T18:09:22,51.532136,-0.120542,.96
010/05/20T18:09:31,51.531983,-0.120672,.95
010/05/20T18:09:37,51.531845,-0.120743,.95
010/05/20T18:09:43,51.531705,-0.120808,1.04
010/05/20T18:09:50,51.531504,-0.120891,1.04
010/05/20T18:09:57,51.531375,-0.120923,.94
010/05/20T18:10:04,51.531240,-0.120951,.94
010/05/20T18:10:12,51.531096,-0.120983,.83
010/05/20T18:10:23,51.530924,-0.121016,.83
010/05/20T18:10:26,51.530916,-0.121005,1.01
010/05/20T18:10:36,51.530828,-0.120732,1.01
010/05/20T18:10:48,51.530792,-0.120477,.95
010/05/20T18:10:53,51.530794,-0.120342,.95
010/05/20T18:11:00,51.530796,-0.120113,.99
010/05/20T18:11:28,51.530835,-0.119701,.92
010/05/20T18:11:36,51.530880,-0.119450,.92
010/05/20T18:11:38,51.530885,-0.119430,.92
010/05/20T18:11:49,51.530964,-0.119082,.99
010/05/20T18:12:03,51.531044,-0.118648,.84
010/05/20T18:12:10,51.531096,-0.118434,.77
010/05/20T18:12:29,51.531170,-0.117931,.83
010/05/20T18:12:38,51.531166,-0.117702,.83
010/05/20T18:12:52,51.531091,-0.117431,.85
010/05/20T18:12:58,51.531111,-0.117314,.93
010/05/20T18:13:05,51.531132,-0.117070,.93
010/05/20T18:13:14,51.531104,-0.116929,.87
010/05/20T18:13:27,51.531082,-0.116696,.94
010/05/20T18:13:35,51.531098,-0.116442,.94
010/05/20T18:13:42,51.531112,-0.116221,.87
010/05/20T18:13:49,51.531132,-0.115998,.87
010/05/20T18:13:56,51.531183,-0.115832,.83
010/05/20T18:14:05,51.531230,-0.115615,.83
010/05/20T18:14:13,51.531276,-0.115360,.84
010/05/20T18:14:24,51.531318,-0.115146,.84
010/05/20T18:14:32,51.531350,-0.114936,.79
010/05/20T18:14:43,51.531365,-0.114684,.71
010/05/20T18:14:50,51.531404,-0.114467,.71
010/05/20T18:14:59,51.531440,-0.114242,.89
010/05/20T18:15:08,51.531467,-0.114028,.89
010/05/20T18:15:21,51.531485,-0.113716,.95
010/05/20T18:15:33,51.531475,-0.113483,.84
010/05/20T18:15:45,51.531475,-0.113210,.82
010/05/20T18:15:57,51.531504,-0.112995,.8
010/05/20T18:16:02,51.531504,-0.112923,.8
010/05/20T18:16:15,51.531529,-0.112637,.73
010/05/20T18:16:23,51.531509,-0.112412,.73
010/05/20T18:16:32,51.531478,-0.112193,.82
010/05/20T18:16:42,51.531436,-0.111984,.76
010/05/20T18:16:50,51.531455,-0.111833,.76
010/05/20T18:17:00,51.531487,-0.111588,.71
010/05/20T18:17:01,51.531490,-0.111572,.71
010/05/20T18:17:23,51.531594,-0.111316,.73
010/05/20T18:18:08,51.531710,-0.111194,.7
010/05/20T18:18:10,51.531717,-0.111175,.7
010/05/20T18:18:20,51.531740,-0.110957,.7
010/05/20T18:18:31,51.531772,-0.110687,.8
010/05/20T18:18:41,51.531785,-0.110467,.78
010/05/20T18:18:55,51.531833,-0.110200,.75
010/05/20T18:18:56,51.531835,-0.110186,.75
010/05/20T18:19:11,51.531859,-0.109901,.76
010/05/20T18:19:20,51.531876,-0.109634,.76
010/05/20T18:19:27,51.531920,-0.109421,.62
010/05/20T18:19:34,51.531935,-0.109288,.62
010/05/20T18:19:50,51.531947,-0.108976,.83
010/05/20T18:19:56,51.531951,-0.108806,.73
010/05/20T18:20:07,51.531964,-0.108573,.73
010/05/20T18:20:17,51.531966,-0.108317,.81
010/05/20T18:20:27,51.531963,-0.108087,.68
010/05/20T18:20:33,51.531962,-0.107859,.68
010/05/20T18:20:40,51.531975,-0.107641,.79
010/05/20T18:20:49,51.531988,-0.107411,.79
010/05/20T18:21:06,51.532023,-0.107089,.77
010/05/20T18:21:15,51.532033,-0.106872,.7
