time, lat, lon, pm10
010/05/12T17:00:33,51.543288,-0.095612,11.4
010/05/12T17:00:41,51.543152,-0.095554,11.4
010/05/12T17:00:52,51.542972,-0.095456,11.4
010/05/12T17:01:01,51.542848,-0.095361,11.4
010/05/12T17:01:10,51.542713,-0.095268,10.6
010/05/12T17:01:17,51.542583,-0.095186,10.6
010/05/12T17:01:24,51.542436,-0.095104,15.8
010/05/12T17:01:28,51.542301,-0.095028,15.8
010/05/12T17:01:37,51.542171,-0.094899,15.8
010/05/12T17:01:47,51.542044,-0.094794,23.2
010/05/12T17:01:55,51.541918,-0.094689,17.1
010/05/12T17:02:09,51.541748,-0.094584,18.7
010/05/12T17:02:18,51.541603,-0.094485,18.7
010/05/12T17:02:25,51.541431,-0.094308,8.9
010/05/12T17:02:57,51.541302,-0.094382,10.3
010/05/12T17:03:04,51.541245,-0.094361,10.3
010/05/12T17:03:21,51.541208,-0.094130,7.2
010/05/12T17:03:28,51.541185,-0.093973,11.8
010/05/12T17:03:32,51.541109,-0.093768,11.8
010/05/12T17:03:40,51.540999,-0.093478,15.3
010/05/12T17:03:45,51.540923,-0.093293,15.3
010/05/12T17:03:50,51.540827,-0.093118,15.3
010/05/12T17:03:58,51.540725,-0.092951,12.5
010/05/12T17:04:08,51.540620,-0.092761,8.6
010/05/12T17:04:23,51.540484,-0.092736,10.1
010/05/12T17:04:36,51.540374,-0.092554,10.1
010/05/12T17:04:52,51.540241,-0.092359,9.7
010/05/12T17:05:01,51.540134,-0.092203,8.8
010/05/12T17:05:10,51.540018,-0.092036,6.2
010/05/12T17:05:18,51.539913,-0.091869,6.2
010/05/12T17:05:24,51.539819,-0.091704,13.6
010/05/12T17:05:31,51.539721,-0.091541,13.6
010/05/12T17:05:43,51.539581,-0.091454,10.5
010/05/12T17:05:44,51.539565,-0.091441,10.5
010/05/12T17:05:58,51.539447,-0.091215,12.1
010/05/12T17:06:15,51.539317,-0.091084,13.7
010/05/12T17:06:30,51.539153,-0.090842,9.8
010/05/12T17:06:37,51.539021,-0.090593,9.8
010/05/12T17:06:43,51.538941,-0.090429,10.7
010/05/12T17:06:53,51.538850,-0.090265,9.2
010/05/12T17:06:55,51.538839,-0.090248,9.2
010/05/12T17:07:14,51.538696,-0.090052,9.2
010/05/12T17:07:23,51.538576,-0.089915,10.8
010/05/12T17:07:28,51.538395,-0.089657,10.8
010/05/12T17:07:29,51.538395,-0.089657,10.8
010/05/12T17:07:43,51.538243,-0.089487,6.7
010/05/12T17:07:58,51.538119,-0.089257,9.1
010/05/12T17:08:00,51.538119,-0.089257,9.1
010/05/12T17:08:12,51.537980,-0.089237,11.9
010/05/12T17:08:28,51.537920,-0.089043,9.5
010/05/12T17:08:43,51.537888,-0.088747,11.3
010/05/12T17:08:58,51.537872,-0.088443,8.8
010/05/12T17:09:13,51.537829,-0.088136,13.3
010/05/12T17:09:37,51.537791,-0.087682,14.4
010/05/12T17:09:47,51.537552,-0.087324,22.6
010/05/12T17:09:52,51.537465,-0.087160,22.6
010/05/12T17:09:54,51.537366,-0.087009,10.5
010/05/12T17:10:03,51.537270,-0.086813,10.5
010/05/12T17:10:06,51.537268,-0.086722,10.5
010/05/12T17:10:20,51.537107,-0.086609,8.6
010/05/12T17:10:27,51.536975,-0.086656,9.1
010/05/12T17:10:36,51.536832,-0.086632,9.1
010/05/12T17:10:44,51.536693,-0.086609,11.6
010/05/12T17:10:52,51.536562,-0.086553,11.6
010/05/12T17:10:59,51.536431,-0.086434,8.7
010/05/12T17:11:06,51.536329,-0.086316,8.7
010/05/12T17:11:17,51.536180,-0.086330,11.8
010/05/12T17:11:27,51.536083,-0.086493,14
010/05/12T17:11:49,51.535996,-0.086314,18.1
010/05/12T17:11:56,51.536010,-0.086090,12.8
010/05/12T17:11:58,51.536013,-0.086076,12.8
010/05/12T17:12:06,51.536039,-0.085845,12.8
010/05/12T17:12:16,51.536105,-0.085624,16.4
010/05/12T17:12:47,51.536138,-0.085126,13.3
010/05/12T17:12:49,51.536139,-0.085063,13.3
010/05/12T17:12:57,51.536140,-0.084796,8.4
010/05/12T17:13:05,51.536144,-0.084535,8.4
010/05/12T17:13:15,51.536121,-0.084301,13.3
010/05/12T17:13:22,51.536088,-0.084059,13.3
010/05/12T17:13:30,51.536031,-0.083822,5
010/05/12T17:13:33,51.536010,-0.083759,5
010/05/12T17:13:46,51.535943,-0.083570,11.7
010/05/12T17:13:57,51.535875,-0.083357,10.8
010/05/12T17:14:07,51.535823,-0.083202,10.8
010/05/12T17:14:14,51.535744,-0.082925,17.6
010/05/12T17:14:20,51.535680,-0.082733,17.6
010/05/12T17:14:27,51.535583,-0.082590,13.7
010/05/12T17:14:35,51.535428,-0.082508,13.7
010/05/12T17:14:45,51.535260,-0.082485,17.4
010/05/12T17:14:52,51.535123,-0.082496,17.4
010/05/12T17:15:18,51.535057,-0.082286,13.6
010/05/12T17:15:32,51.535058,-0.082065,16.6
010/05/12T17:15:49,51.535058,-0.082065,6.1
