time, lat, lon, pm2.5
010/05/10T15:54:37,51.533689,-0.121111,3.15
010/05/10T15:54:38,51.533689,-0.121111,3.15
010/05/10T15:55:53,51.533689,-0.121111,3.83
010/05/10T15:55:58,51.533689,-0.121111,3.83
010/05/10T15:56:20,51.533568,-0.122038,3.5
010/05/10T15:56:29,51.533568,-0.122038,3.36
010/05/10T17:22:45,51.533450,-0.120685,3.1
010/05/10T17:22:47,51.533648,-0.119340,3.1
010/05/10T17:23:24,51.533406,-0.118770,2.81
010/05/10T17:23:52,51.533640,-0.118482,3.1
010/05/10T17:23:54,51.533640,-0.118482,3.1
010/05/10T17:24:07,51.533809,-0.118233,2.62
010/05/10T17:24:17,51.533906,-0.118107,2.79
010/05/10T17:24:25,51.534002,-0.118026,2.79
010/05/10T17:24:40,51.534221,-0.117876,2.99
010/05/10T17:24:55,51.534394,-0.117708,2.67
010/05/10T17:25:15,51.534618,-0.117417,2.67
010/05/10T17:25:40,51.534813,-0.117241,2.91
010/05/10T17:25:45,51.534922,-0.117223,2.72
010/05/10T17:25:49,51.535029,-0.117191,2.72
010/05/10T17:25:57,51.535153,-0.117123,2.72
010/05/10T17:26:10,51.535298,-0.117079,2.79
010/05/10T17:26:19,51.535391,-0.117054,2.51
010/05/10T17:26:25,51.535487,-0.117032,2.51
010/05/10T17:26:31,51.535579,-0.116992,2.83
010/05/10T17:26:38,51.535658,-0.116910,2.83
010/05/10T17:26:48,51.535735,-0.116817,3.06
010/05/10T17:27:01,51.535856,-0.116631,2.67
010/05/10T17:27:13,51.535949,-0.116548,2.67
010/05/10T17:27:24,51.536081,-0.116541,2.6
010/05/10T17:27:33,51.536206,-0.116540,2.79
010/05/10T17:27:47,51.536488,-0.116500,2.59
010/05/10T17:27:56,51.536603,-0.116482,2.59
010/05/10T17:28:02,51.536703,-0.116473,2.75
010/05/10T17:28:39,51.536956,-0.116078,2.67
010/05/10T17:28:41,51.536960,-0.116035,2.67
010/05/10T17:28:43,51.536963,-0.115995,2.67
010/05/10T17:29:16,51.536927,-0.115494,2.61
010/05/10T17:29:25,51.536908,-0.115271,2.61
010/05/10T17:29:33,51.536854,-0.114979,2.77
010/05/10T17:30:00,51.536828,-0.114516,2.88
010/05/10T17:30:13,51.536806,-0.114081,2.88
010/05/10T17:30:32,51.536871,-0.113961,2.69
010/05/10T17:30:37,51.536962,-0.113931,2.69
010/05/10T17:30:42,51.537055,-0.113911,2.69
010/05/10T17:30:49,51.537130,-0.113895,2.92
010/05/10T17:30:55,51.537229,-0.113851,2.92
010/05/10T17:31:04,51.537320,-0.113877,2.71
010/05/10T17:31:12,51.537413,-0.113878,2.71
010/05/10T17:31:19,51.537509,-0.113877,3.02
010/05/10T17:31:20,51.537519,-0.113873,3.02
010/05/10T17:31:27,51.537625,-0.113831,3.02
010/05/10T17:31:36,51.537721,-0.113798,2.92
010/05/10T17:31:39,51.537752,-0.113786,2.92
010/05/10T17:31:46,51.537842,-0.113768,2.92
010/05/10T17:31:53,51.537923,-0.113760,2.92
010/05/10T17:32:03,51.538049,-0.113722,2.86
010/05/10T17:32:14,51.538169,-0.113667,3.05
010/05/10T17:32:33,51.538387,-0.113557,2.7
010/05/10T17:32:44,51.538447,-0.113589,2.69
010/05/10T17:33:20,51.538549,-0.113674,2.83
010/05/10T17:33:38,51.538572,-0.113670,2.48
010/05/10T17:33:45,51.538580,-0.113669,2.98
010/05/10T17:33:46,51.538580,-0.113669,2.98
010/05/10T17:33:53,51.538601,-0.113687,2.98
010/05/10T17:33:57,51.538602,-0.113689,2.98
010/05/10T17:34:03,51.538617,-0.113708,2.48
010/05/10T17:34:54,51.538895,-0.113625,2.94
010/05/10T17:35:12,51.539055,-0.113604,2.67
010/05/10T17:35:29,51.539202,-0.113588,3
010/05/10T17:35:40,51.539304,-0.113605,3
010/05/10T17:35:46,51.539416,-0.113612,2.8
010/05/10T17:35:51,51.539530,-0.113602,2.8
010/05/10T17:35:59,51.539803,-0.113536,2.88
010/05/10T17:36:19,51.540080,-0.113540,2.66
010/05/10T17:36:28,51.540172,-0.113513,2.66
010/05/10T17:36:36,51.540287,-0.113506,3.2
010/05/10T17:36:41,51.540398,-0.113503,3.2
010/05/10T17:36:53,51.540670,-0.113503,2.88
010/05/10T17:36:57,51.540670,-0.113503,2.88
010/05/10T17:36:58,51.540756,-0.113434,2.88
010/05/10T17:37:24,51.540793,-0.113164,3.47
010/05/10T17:37:40,51.540773,-0.112711,3.05
010/05/10T17:37:51,51.540802,-0.112481,2.93
010/05/10T17:38:06,51.540874,-0.112322,2.94
010/05/10T17:38:27,51.541166,-0.112302,2.54
010/05/10T17:38:34,51.541253,-0.112248,3.01
010/05/10T17:38:54,51.541327,-0.112128,2.9
010/05/10T17:39:07,51.541423,-0.111986,3.04
010/05/10T17:39:16,51.541461,-0.111729,2.98
010/05/10T17:39:29,51.541512,-0.111261,2.67
010/05/10T17:39:41,51.541526,-0.111000,2.67
010/05/10T17:39:43,51.541526,-0.111000,2.67
010/05/10T17:39:52,51.541518,-0.110822,2.58
010/05/10T17:39:54,51.541518,-0.110822,2.58
010/05/10T17:40:21,51.541578,-0.110446,2.83
010/05/10T17:40:35,51.541632,-0.110112,2.72
010/05/10T17:40:58,51.541885,-0.109944,3.28
010/05/10T17:41:06,51.542008,-0.109951,3.06
010/05/10T17:41:49,51.542150,-0.109667,3.05
010/05/10T17:42:07,51.542235,-0.109151,2.89
010/05/10T17:42:09,51.542235,-0.109151,2.89
010/05/10T17:42:16,51.542275,-0.108697,2.9
010/05/10T17:42:28,51.542320,-0.108392,2.9
010/05/10T17:42:34,51.542347,-0.108270,3.5
010/05/10T17:42:41,51.542419,-0.108070,3.5
010/05/10T17:42:48,51.542461,-0.107927,3.11
010/05/10T17:42:55,51.542502,-0.107765,3.11
010/05/10T17:43:02,51.542542,-0.107598,2.72
010/05/10T17:43:13,51.542570,-0.107455,2.72
010/05/10T17:43:25,51.542594,-0.107169,2.8
010/05/10T17:43:38,51.542611,-0.106997,3.25
010/05/10T17:43:44,51.542620,-0.106832,2.73
010/05/10T17:43:45,51.542620,-0.106832,2.73
010/05/10T17:43:48,51.542634,-0.106686,2.73
010/05/10T17:43:54,51.542694,-0.106504,2.73
010/05/10T17:43:59,51.542730,-0.106368,2.92
010/05/10T17:44:05,51.542763,-0.106229,2.92
010/05/10T17:44:10,51.542784,-0.106074,2.92
010/05/10T17:44:15,51.542794,-0.105920,3.08
010/05/10T17:44:21,51.542808,-0.105782,3.08
010/05/10T17:44:27,51.542831,-0.105636,3.08
010/05/10T17:44:34,51.542856,-0.105486,3.29
010/05/10T17:44:42,51.542888,-0.105331,3.29
010/05/10T17:44:47,51.542908,-0.105186,3.01
010/05/10T17:44:55,51.542935,-0.105019,3.01
010/05/10T17:45:01,51.542951,-0.104853,3.17
010/05/10T17:45:07,51.542968,-0.104678,3.17
010/05/10T17:45:18,51.543003,-0.104401,2.84
010/05/10T17:45:27,51.543035,-0.104247,2.84
010/05/10T17:45:36,51.543054,-0.104094,3.03
010/05/10T17:46:05,51.543183,-0.103658,3.12
010/05/10T17:46:16,51.543152,-0.103517,2.67
010/05/10T17:46:28,51.543115,-0.103376,2.67
010/05/10T17:46:43,51.543123,-0.103142,2.9
010/05/10T17:46:58,51.543163,-0.102736,2.92
010/05/10T17:47:01,51.543163,-0.102736,3.01
010/05/10T17:47:05,51.543183,-0.102552,3.01
010/05/10T17:47:12,51.543198,-0.102356,3.01
010/05/10T17:47:22,51.543212,-0.102154,3.24
010/05/10T17:47:30,51.543234,-0.101995,2.89
010/05/10T17:47:30,51.543238,-0.101976,2.89
010/05/10T17:47:38,51.543266,-0.101803,2.89
010/05/10T17:47:46,51.543292,-0.101653,3.52
010/05/10T17:47:49,51.543292,-0.101653,3.52
010/05/10T17:47:52,51.543314,-0.101501,3.52
010/05/10T17:48:00,51.543342,-0.101359,2.98
010/05/10T17:48:07,51.543401,-0.101238,2.98
010/05/10T17:48:18,51.543495,-0.101145,2.66
010/05/10T17:48:25,51.543585,-0.101010,2.66
010/05/10T17:48:31,51.543627,-0.100887,2.71
