time, lat, lon, pm10
010/05/20T18:03:27,51.534719,-0.122346,16.6
010/05/20T18:03:28,51.534719,-0.122346,16.6
010/05/20T18:03:45,51.534194,-0.122201,17.9
010/05/20T18:04:09,51.534085,-0.122305,17.9
010/05/20T18:04:18,51.533940,-0.122295,17.3
010/05/20T18:04:23,51.533857,-0.122294,17.3
010/05/20T18:04:32,51.533715,-0.122301,20.6
010/05/20T18:04:34,51.533695,-0.122302,20.6
010/05/20T18:04:43,51.533562,-0.122230,12.4
010/05/20T18:05:04,51.533500,-0.121937,12.7
010/05/20T18:05:25,51.533484,-0.121360,18.8
010/05/20T18:05:42,51.533479,-0.121020,15
010/05/20T18:05:52,51.533485,-0.120773,15
010/05/20T18:06:12,51.533469,-0.120318,12.6
010/05/20T18:06:35,51.533460,-0.119714,18.5
010/05/20T18:06:49,51.533466,-0.119434,14.2
010/05/20T18:07:01,51.533468,-0.119176,18
010/05/20T18:07:06,51.533464,-0.119049,18
010/05/20T18:07:16,51.533411,-0.118838,15.7
010/05/20T18:07:51,51.533154,-0.119144,12.8
010/05/20T18:08:15,51.532941,-0.119422,12.4
010/05/20T18:08:21,51.532879,-0.119493,12.4
010/05/20T18:08:45,51.532677,-0.119863,13.7
010/05/20T18:09:04,51.532496,-0.120167,16.8
010/05/20T18:09:13,51.532335,-0.120371,13
010/05/20T18:09:16,51.532335,-0.120371,13
010/05/20T18:09:22,51.532136,-0.120542,13
010/05/20T18:09:31,51.531983,-0.120672,12.4
010/05/20T18:09:37,51.531845,-0.120743,12.4
010/05/20T18:09:43,51.531705,-0.120808,11.7
010/05/20T18:09:50,51.531504,-0.120891,11.7
010/05/20T18:09:57,51.531375,-0.120923,15
010/05/20T18:10:04,51.531240,-0.120951,15
010/05/20T18:10:12,51.531096,-0.120983,9.7
010/05/20T18:10:23,51.530924,-0.121016,9.7
010/05/20T18:10:26,51.530916,-0.121005,14.8
010/05/20T18:10:36,51.530828,-0.120732,14.8
010/05/20T18:10:48,51.530792,-0.120477,12.7
010/05/20T18:10:53,51.530794,-0.120342,12.7
010/05/20T18:11:00,51.530796,-0.120113,17
010/05/20T18:11:28,51.530835,-0.119701,10.5
010/05/20T18:11:36,51.530880,-0.119450,10.5
010/05/20T18:11:38,51.530885,-0.119430,10.5
010/05/20T18:11:49,51.530964,-0.119082,17.1
010/05/20T18:12:03,51.531044,-0.118648,16.9
010/05/20T18:12:10,51.531096,-0.118434,16.8
010/05/20T18:12:29,51.531170,-0.117931,12.6
010/05/20T18:12:38,51.531166,-0.117702,12.6
010/05/20T18:12:52,51.531091,-0.117431,16.2
010/05/20T18:12:58,51.531111,-0.117314,13.8
010/05/20T18:13:05,51.531132,-0.117070,13.8
010/05/20T18:13:14,51.531104,-0.116929,10.7
010/05/20T18:13:27,51.531082,-0.116696,10.7
010/05/20T18:13:35,51.531098,-0.116442,10.7
010/05/20T18:13:42,51.531112,-0.116221,13.1
010/05/20T18:13:49,51.531132,-0.115998,13.1
