time, lat, lon, total
010/05/10T17:44:15,51.542794,-0.105920,38.9
010/05/10T17:44:21,51.542808,-0.105782,38.9
010/05/10T17:44:27,51.542831,-0.105636,38.9
010/05/10T17:44:34,51.542856,-0.105486,89.2
010/05/10T17:44:42,51.542888,-0.105331,89.2
010/05/10T17:44:47,51.542908,-0.105186,47.3
010/05/10T17:44:55,51.542935,-0.105019,47.3
010/05/10T17:45:01,51.542951,-0.104853,37.5
010/05/10T17:45:07,51.542968,-0.104678,37.5
010/05/10T17:45:18,51.543003,-0.104401,44.8
010/05/10T17:45:27,51.543035,-0.104247,44.8
010/05/10T17:45:36,51.543054,-0.104094,94.6
010/05/10T17:46:05,51.543183,-0.103658,46.9
010/05/10T17:46:16,51.543152,-0.103517,35
010/05/10T17:46:28,51.543115,-0.103376,35
010/05/10T17:46:43,51.543123,-0.103142,52.2
010/05/10T17:46:58,51.543163,-0.102736,47.1
010/05/10T17:47:01,51.543163,-0.102736,48.7
010/05/10T17:47:05,51.543183,-0.102552,48.7
010/05/10T17:47:12,51.543198,-0.102356,48.7
010/05/10T17:47:22,51.543212,-0.102154,25.6
010/05/10T17:47:30,51.543234,-0.101995,49.1
010/05/10T17:47:30,51.543238,-0.101976,49.1
010/05/10T17:47:38,51.543266,-0.101803,49.1
010/05/10T17:47:46,51.543292,-0.101653,13.3
010/05/10T17:47:49,51.543292,-0.101653,13.3
010/05/10T17:47:52,51.543314,-0.101501,13.3
010/05/10T17:48:00,51.543342,-0.101359,25.5
010/05/10T17:48:07,51.543401,-0.101238,25.5
010/05/10T17:48:18,51.543495,-0.101145,36.9
010/05/10T17:48:25,51.543585,-0.101010,36.9
010/05/10T17:48:31,51.543627,-0.100887,8.7
010/05/10T17:48:36,51.543664,-0.100745,8.7
010/05/10T17:48:43,51.543651,-0.100576,8.7
010/05/10T17:49:00,51.543619,-0.100395,63
010/05/10T17:49:09,51.543648,-0.100248,63
010/05/10T17:49:19,51.543702,-0.100019,49.3
010/05/10T17:49:23,51.543707,-0.100001,49.3
010/05/10T17:49:27,51.543740,-0.099864,49.3
010/05/10T17:49:37,51.543751,-0.099701,60.3
010/05/10T17:49:41,51.543757,-0.099601,60.3
010/05/10T17:49:54,51.543857,-0.099423,25.2
010/05/10T17:49:56,51.543857,-0.099423,25.2
010/05/10T17:50:01,51.543934,-0.099330,40.3
010/05/10T17:50:08,51.543971,-0.099193,40.3
010/05/10T17:50:17,51.544028,-0.099074,111.5
010/05/10T17:50:28,51.544182,-0.098956,111.5
010/05/10T17:50:42,51.544329,-0.098618,78.4
010/05/10T17:50:45,51.544333,-0.098594,44.7
010/05/10T17:50:47,51.544348,-0.098439,44.7
010/05/10T17:50:54,51.544360,-0.098281,44.7
010/05/10T17:51:05,51.544392,-0.098047,39.1
010/05/10T17:51:14,51.544460,-0.097885,28.7
010/05/10T17:51:17,51.544460,-0.097885,28.7
010/05/10T17:51:22,51.544515,-0.097757,28.7
010/05/10T17:51:35,51.544472,-0.097515,33.1
010/05/10T17:51:57,51.544167,-0.097303,23.8
010/05/10T17:52:05,51.544024,-0.097205,28.2
010/05/10T17:52:12,51.543930,-0.097165,28.2
010/05/10T17:52:38,51.543655,-0.097184,22.6
010/05/10T17:52:51,51.543469,-0.097184,44.1
010/05/10T17:53:01,51.543332,-0.097130,64.3
010/05/10T17:53:14,51.543180,-0.097131,37.3
010/05/10T17:53:26,51.543017,-0.097121,37.3
010/05/10T17:53:35,51.542910,-0.097069,26.6
010/05/10T17:53:36,51.542910,-0.097069,26.6
010/05/10T17:53:49,51.542901,-0.096920,83.9
010/05/10T17:53:55,51.542923,-0.096821,83.9
010/05/10T17:54:01,51.542977,-0.096675,22.4
010/05/10T17:54:10,51.543088,-0.096476,22.4
010/05/10T17:54:11,51.543088,-0.096476,22.4
010/05/10T17:54:16,51.543140,-0.096356,21.1
010/05/10T17:54:26,51.543215,-0.096198,21.1
010/05/10T17:54:37,51.543276,-0.096090,8.8
010/05/10T17:54:46,51.543347,-0.095890,27.6
010/05/10T17:54:47,51.543347,-0.095875,27.6
010/05/10T17:54:55,51.543312,-0.095733,27.6
010/05/10T17:55:02,51.543244,-0.095623,43.3
010/05/10T17:55:08,51.543171,-0.095525,43.3
010/05/10T17:55:14,51.543104,-0.095425,16.6
010/05/10T17:55:22,51.543002,-0.095308,16.6
010/05/10T17:55:25,51.542993,-0.095304,16.6
010/05/10T17:55:29,51.542904,-0.095262,66.7
010/05/10T17:55:43,51.542796,-0.095233,66.7
010/05/10T17:55:56,51.542637,-0.095176,78.6
010/05/10T17:56:09,51.542471,-0.095081,31.5
010/05/10T17:56:16,51.542388,-0.095012,28.8
010/05/10T17:56:24,51.542271,-0.094939,28.8
010/05/10T17:56:31,51.542166,-0.094884,20.7
010/05/10T17:56:37,51.542078,-0.094836,20.7
010/05/10T17:56:43,51.541983,-0.094791,20.7
010/05/10T17:56:47,51.541893,-0.094751,14
010/05/10T17:56:53,51.541781,-0.094714,14
010/05/10T17:57:01,51.541695,-0.094664,22.7
010/05/10T17:57:02,51.541676,-0.094643,22.7
010/05/10T17:57:15,51.541579,-0.094477,40.6
010/05/10T17:57:22,51.541539,-0.094345,40.6
010/05/10T17:57:38,51.541367,-0.094037,36.8
010/05/10T17:57:45,51.541311,-0.093990,24.8
010/05/10T17:57:49,51.541215,-0.093900,24.8
010/05/10T17:57:58,51.541120,-0.093787,24.8
010/05/10T17:58:03,51.541042,-0.093682,34
010/05/10T17:58:08,51.540967,-0.093574,34
010/05/10T17:58:15,51.540895,-0.093476,73.7
010/05/10T17:58:17,51.540889,-0.093466,73.7
010/05/10T17:58:25,51.540802,-0.093315,73.7
010/05/10T17:58:31,51.540743,-0.093201,33.5
010/05/10T17:58:37,51.540671,-0.093049,33.5
010/05/10T17:58:42,51.540617,-0.092933,33.5
010/05/10T17:58:47,51.540557,-0.092818,56.1
010/05/10T17:58:54,51.540489,-0.092706,56.1
010/05/10T17:59:01,51.540411,-0.092602,30.4
010/05/10T17:59:06,51.540335,-0.092491,30.4
010/05/10T17:59:15,51.540214,-0.092318,51.3
010/05/10T17:59:20,51.540148,-0.092215,51.3
010/05/10T17:59:26,51.540081,-0.092109,51.3
010/05/10T17:59:33,51.539980,-0.091962,21.4
010/05/10T17:59:34,51.539980,-0.091962,21.4
010/05/10T17:59:38,51.539906,-0.091864,21.4
010/05/10T17:59:44,51.539833,-0.091763,26.4
