time, lat, lon, pm10
010/05/18T17:57:08,51.531816,-0.110357,12.3
010/05/18T17:57:19,51.531871,-0.110132,12.3
010/05/18T17:57:33,51.531930,-0.109899,12.3
010/05/18T17:57:43,51.531950,-0.109662,14.7
010/05/18T17:57:52,51.531950,-0.109422,14.7
010/05/18T17:58:14,51.531926,-0.109022,12.8
010/05/18T17:58:31,51.531916,-0.108581,20
010/05/18T17:58:40,51.531915,-0.108286,12.6
010/05/18T17:58:55,51.531924,-0.108038,15.5
010/05/18T17:59:02,51.531946,-0.107810,15.5
010/05/18T17:59:10,51.531970,-0.107589,12.3
010/05/18T17:59:21,51.531985,-0.107346,12.3
010/05/18T17:59:28,51.532002,-0.107117,11.7
010/05/18T17:59:39,51.532025,-0.106871,11.7
010/05/18T17:59:48,51.532052,-0.106643,14.5
010/05/18T17:59:59,51.532060,-0.106409,13.2
010/05/18T18:00:13,51.531987,-0.106189,20
010/05/18T18:00:25,51.531972,-0.106115,16.8
010/05/18T18:01:48,51.532021,-0.105910,13.5
010/05/18T18:02:04,51.531993,-0.105644,14.2
010/05/18T18:02:12,51.531858,-0.105480,16.1
010/05/18T18:02:22,51.531735,-0.105329,16.1
010/05/18T18:02:35,51.531656,-0.105124,15
010/05/18T18:02:44,51.531605,-0.104878,14.7
010/05/18T18:02:49,51.531556,-0.104729,14.7
010/05/18T18:03:00,51.531529,-0.104492,11.8
010/05/18T18:03:12,51.531499,-0.103941,13.8
010/05/18T18:03:24,51.531501,-0.103662,13.8
010/05/18T18:03:35,51.531448,-0.103414,10
010/05/18T18:03:46,51.531408,-0.103229,14.9
010/05/18T18:03:55,51.531368,-0.103013,13
010/05/18T18:04:06,51.531334,-0.102770,13
010/05/18T18:04:16,51.531301,-0.102545,10.1
010/05/18T18:04:27,51.531242,-0.102334,15.9
010/05/18T18:04:29,51.531229,-0.102289,15.9
010/05/18T18:04:43,51.531177,-0.102071,8
010/05/18T18:04:55,51.531106,-0.101748,17.1
010/05/18T18:05:02,51.531064,-0.101507,17.1
010/05/18T18:05:11,51.531005,-0.101296,14.5
010/05/18T18:05:25,51.530895,-0.101031,16.4
010/05/18T18:05:30,51.530843,-0.100901,16.4
010/05/18T18:05:35,51.530777,-0.100705,16.4
010/05/18T18:05:42,51.530695,-0.100521,15.3
010/05/18T18:05:54,51.530618,-0.100316,15.3
010/05/18T18:06:03,51.530567,-0.100111,7.9
010/05/18T18:06:10,51.530506,-0.099907,12.9
010/05/18T18:06:23,51.530440,-0.099643,12.9
010/05/18T18:06:35,51.530413,-0.099430,18.1
010/05/18T18:06:47,51.530376,-0.099219,14.2
010/05/18T18:06:57,51.530308,-0.099000,14.4
010/05/18T18:07:06,51.530243,-0.098798,14.4
010/05/18T18:07:16,51.530165,-0.098581,10.9
010/05/18T18:07:26,51.530105,-0.098386,16.9
010/05/18T18:07:36,51.530051,-0.098165,16.9
010/05/18T18:07:45,51.530020,-0.097930,15.6
010/05/18T18:07:47,51.530006,-0.097853,15.6
010/05/18T18:07:53,51.529964,-0.097638,15.6
010/05/18T18:08:01,51.529900,-0.097415,14.7
010/05/18T18:08:21,51.529837,-0.097100,17.1
010/05/18T18:08:30,51.529788,-0.096883,14.9
010/05/18T18:08:41,51.529680,-0.096658,17.8
010/05/18T18:08:43,51.529656,-0.096614,17.8
010/05/18T18:08:54,51.529533,-0.096443,17.8
010/05/18T18:09:07,51.529469,-0.096212,11.1
010/05/18T18:09:13,51.529457,-0.096031,12.3
010/05/18T18:09:22,51.529433,-0.095816,12.3
010/05/18T18:09:25,51.529425,-0.095735,14.8
010/05/18T18:09:34,51.529395,-0.095522,14.8
010/05/18T18:09:49,51.529359,-0.095284,15.6
010/05/18T18:10:00,51.529316,-0.094945,12.9
010/05/18T18:10:07,51.529259,-0.094790,12.9
010/05/18T18:10:15,51.529183,-0.094595,12.6
010/05/18T18:10:26,51.529108,-0.094362,17.4
010/05/18T18:10:37,51.529008,-0.094138,17.4
010/05/18T18:10:40,51.528993,-0.094099,15.6
010/05/18T18:10:49,51.528942,-0.093857,15.6
010/05/18T18:11:00,51.528899,-0.093597,14.7
