TimeStamp,time,totalPM,PM10,PM2.5,PM1,particles_A,P,particles
12/05/2010,17:00:45,26.9,10.7,3.86,.81, , , 
12/05/2010,17:01:00,79.7,11.4,3.35,.94, , , 
12/05/2010,17:01:15,25.5,10.6,3.35,.96, , , 
12/05/2010,17:01:30,104.6,15.8,3.61,.96, , , 
12/05/2010,17:01:45,72.2,23.2,3.39,.89, , , 
12/05/2010,17:02:00,141.8,17.1,3.66,.83, , , 
12/05/2010,17:02:15,36.2,18.7,3.27,.82, , , 
12/05/2010,17:02:30,39,8.9,2.44,.74, , , 
12/05/2010,17:02:45,7.5,6.4,2.41,.71, , , 
12/05/2010,17:03:00,47.7,10.3,2.88,.7, , , 
12/05/2010,17:03:15,59.2,7.2,2.36,.7, , , 
12/05/2010,17:03:30,43.9,11.8,2.4,.79, , , 
12/05/2010,17:03:45,82.9,15.3,2.58,.78, , , 
12/05/2010,17:04:00,70.6,12.5,2.88,.78, , , 
12/05/2010,17:04:15,75.4,8.6,2.5,.74, , , 
12/05/2010,17:04:30,65,10.1,2.6,.59, , , 
12/05/2010,17:04:45,12,9.7,2.79,.68, , , 
12/05/2010,17:05:00,38,8.8,1.97,.48, , , 
12/05/2010,17:05:15,6.9,6.2,2.43,.55, , , 
12/05/2010,17:05:30,41.2,13.6,3.01,.7, , , 
12/05/2010,17:05:45,39.6,10.5,3.31,.74, , , 
12/05/2010,17:06:00,43.4,12.1,2.87,.82, , , 
12/05/2010,17:06:15,38.7,13.7,2.95,.71, , , 
12/05/2010,17:06:30,51.2,9.8,2.32,.72, , , 
12/05/2010,17:06:45,27.7,10.7,3.23,.73, , , 
12/05/2010,17:07:00,37.8,9.2,3.07,.78, , , 
12/05/2010,17:07:15,53.1,9.2,2.98,.63, , , 
12/05/2010,17:07:30,42.3,10.8,2.34,.58, , , 
12/05/2010,17:07:45,33.5,6.7,2.5,.7, , , 
12/05/2010,17:08:00,24.3,9.1,2.65,.66, , , 
12/05/2010,17:08:15,63,11.9,2.55,.74, , , 
12/05/2010,17:08:30,25.1,9.5,2.6,.67, , , 
12/05/2010,17:08:45,52,11.3,2.36,.69, , , 
12/05/2010,17:09:00,24.1,8.8,2.49,.7, , , 
12/05/2010,17:09:15,46.7,13.3,3.17,.75, , , 
12/05/2010,17:09:30,41.2,14.4,2.68,.7, , , 
12/05/2010,17:09:45,48.2,22.6,3.03,.75, , , 
12/05/2010,17:10:00,13.8,10.5,2.8,.7, , , 
12/05/2010,17:10:15,36.1,8.6,2.99,.67, , , 
12/05/2010,17:10:30,40.3,9.1,2.65,.68, , , 
12/05/2010,17:10:45,58.4,11.6,2.73,.65, , , 
12/05/2010,17:11:00,36.6,8.7,2.56,.64, , , 
12/05/2010,17:11:15,47.9,11.8,2.85,.61, , , 
12/05/2010,17:11:30,39.3,14,2.97,.64, , , 
12/05/2010,17:11:45,57.3,18.1,2.69,.69, , , 
12/05/2010,17:12:00,42.3,12.8,2.78,.64, , , 
12/05/2010,17:12:15,34.9,16.4,2.84,.74, , , 
12/05/2010,17:12:30,32.5,13.8,3.13,.73, , , 
12/05/2010,17:12:45,39.1,13.3,2.96,.65, , , 
12/05/2010,17:13:00,11.1,8.4,2.89,.77, , , 
12/05/2010,17:13:15,30.6,13.3,2.46,.7, , , 
12/05/2010,17:13:30,18.5,5,2.47,.75, , , 
12/05/2010,17:13:45,33.9,11.7,2.84,.76, , , 
12/05/2010,17:14:00,86.1,10.8,2.75,.68, , , 
12/05/2010,17:14:15,85.9,17.6,2.31,.59, , , 
12/05/2010,17:14:30,57.4,13.7,2.33,.62, , , 
12/05/2010,17:14:45,83.1,17.4,3.04,.72, , , 
12/05/2010,17:15:00,37.3,8.9,2.99,.76, , , 
12/05/2010,17:15:15,72.9,13.6,2.89,.72, , , 
12/05/2010,17:15:30,23.5,16.6,2.27,.66, , , 
12/05/2010,17:15:45,19.7,6.1,2.94,.59, , , 
12/05/2010,17:16:00,31.2,10.7,2.73,.66, , , 
12/05/2010,17:16:15,23.2,13.3,2.57,.66, , , 
12/05/2010,17:16:30,55,12,2.44,.7, , , 
12/05/2010,17:16:45,17.3,10.2,2.31,.61, , , 
12/05/2010,17:17:00,49.6,13.2,2.38,.61, , , 
12/05/2010,17:17:15,9.8,7.7,2.91,.56, , , 
12/05/2010,17:17:30,27.8,7.8,2.25,.48, , , 
12/05/2010,17:17:45,60.3,15.1,2.91,.76, , , 
12/05/2010,17:18:00,57.9,12.5,2.28,.65, , , 
12/05/2010,17:18:15,34.3,7.5,2.54,.74, , , 
12/05/2010,17:18:30,47.7,11.7,2.77,.74, , , 
12/05/2010,17:18:45,21.4,13.1,3.03,.83, , , 
12/05/2010,17:19:00,62.3,12.6,2.63,.68, , , 
12/05/2010,17:19:15,63.1,7.4,2.69,.61, , , 
12/05/2010,17:19:30,126.1,21.7,2.81,.65, , , 
12/05/2010,17:19:45,122.3,22,3.16,.71, , , 
12/05/2010,17:20:00,123.2,19.4,2.85,.73, , , 
12/05/2010,17:20:15,659.3,121.7,7.43,1.52, , , 
12/05/2010,17:20:30,625,63,3.59,.93, , , 
12/05/2010,17:20:45,519.9,85.6,4.07,1.03, , , 
12/05/2010,17:21:00,255.5,39.9,4.1,.88, , , 
12/05/2010,17:21:15,151,52.7,5.09,.94, , , 
12/05/2010,17:21:30,139.5,35.4,3.44,.73, , , 
12/05/2010,17:21:45,46.9,14.3,2.86,.59, , , 
12/05/2010,17:22:00,90,23.6,2.45,.59, , , 
12/05/2010,17:22:15,123.5,31.6,2.8,.64, , , 
12/05/2010,17:22:30,143.9,31.4,3.19,.63, , , 
12/05/2010,17:22:45,91.9,22.9,2.37,.49, , , 
12/05/2010,17:23:00,68.6,20,2.59,.61, , , 
12/05/2010,17:23:15,95.9,23.9,2.98,.5, , , 
12/05/2010,17:23:30,90.4,24,2.88,.58, , , 
12/05/2010,17:23:45,135,48,2.64,.53, , , 
12/05/2010,17:24:00,76.2,26,3.05,.5, , , 
12/05/2010,17:24:15,75,28.7,4.27,.95, , , 
12/05/2010,17:24:30,96.2,25.5,7.46,1.84, , , 
12/05/2010,17:24:45,53.2,35.8,8.56,2.19, , , 
12/05/2010,17:25:00,169.9,47.3,8.59,2.18, , , 
12/05/2010,17:25:15,123.2,39,7.27,1.99, , , 
12/05/2010,17:25:30,101.4,31.7,6.93,1.93, , , 
12/05/2010,17:25:45,70.4,33,8.05,2.38, , , 
12/05/2010,17:26:00,299.3,74.7,11.13,2.67, , , 
12/05/2010,17:26:15,153.5,37.9,9.6,2.66, , , 
12/05/2010,17:26:30,51,31.6,8.58,2.47, , , 
12/05/2010,17:26:45,116.2,36.2,7.67,2.07, , , 
12/05/2010,17:27:00,39.2,19.8,4.75,1.37, , , 
12/05/2010,17:27:15,92.2,22.5,6,2.16, , , 
12/05/2010,17:27:30,19.9,10,4.46,1.55, , , 
12/05/2010,17:27:45,20.3,13.6,3.2,.77, , , 
12/05/2010,17:28:00,22.4,9.6,3.47,.88, , , 
12/05/2010,17:28:15,44.4,21.8,4.44,1.01, , , 
12/05/2010,17:28:30,15.1,12.5,4.09,.91, , , 
12/05/2010,17:28:45,23.1,18.9,6.77,2.14, , , 
12/05/2010,17:29:00,11.1,9.5,4.96,1.58, , , 
12/05/2010,17:29:15,22.2,17.4,6.72,1.84, , , 
12/05/2010,17:29:30,19.7,12.6,3.73,.82, , , 
12/05/2010,17:29:45,22.8,8.1,4.18,.94, , , 
12/05/2010,17:30:00,11,10,4.63,1.06, , , 
12/05/2010,17:30:15,19.9,11.8,3.25,.77, , , 
12/05/2010,17:30:30,14.3,6.8,2.63,.61, , , 
12/05/2010,17:30:45,26.9,9.3,3.96,.79, , , 
12/05/2010,17:31:00,11.6,9.7,3.71,.8, , , 
12/05/2010,17:31:15,28.7,11.5,3.71,.86, , , 
12/05/2010,17:31:30,15,13.5,5.88,1.48, , , 
12/05/2010,17:31:45,23.3,14.6,5.05,1.45, , , 
12/05/2010,17:32:00,22.2,7.4,3.33,.84, , , 
12/05/2010,17:32:15,41.2,9.6,3.84,.71, , , 
12/05/2010,17:32:30,42.6,23,5.47,1.37, , , 
12/05/2010,17:32:45,11.7,9.9,4.87,1.18, , , 
12/05/2010,17:33:00,39.8,16.2,5.26,1.24, , , 
12/05/2010,17:33:15,89.6,35.7,5.92,1.28, , , 
12/05/2010,17:33:30,62.4,31.1,5.39,1.26, , , 
12/05/2010,17:33:45,16.6,13.2,4.42,1.01, , , 
12/05/2010,17:34:00,26.4,20.7,4.21,1.02, , , 
12/05/2010,17:34:15,33.8,21.1,5.43,1.34, , , 
12/05/2010,17:34:30,19.4,15.2,3.6,.87, , , 
12/05/2010,17:34:45,38.8,16.4,3.78,.79, , , 
12/05/2010,17:35:00,35.3,26,5.75,1.54, , , 
12/05/2010,17:35:15,29.1,16.3,4.79,1.16, , , 
12/05/2010,17:35:30,4.7,4.5,2.82,.66, , , 
12/05/2010,17:35:45,8.1,6.5,3.08,.66, , , 
12/05/2010,17:36:00,22.3,11.2,2.82,.69, , , 
12/05/2010,17:36:15,12,7,3.41,.59, , , 
12/05/2010,17:36:30,12,9.9,3.1,.65, , , 
12/05/2010,17:36:45,9.2,7.8,2.82,.69, , , 
12/05/2010,17:37:00,43.4,11.9,3.6,.73, , , 
12/05/2010,17:37:15,38.6,9,2.38,.49, , , 
12/05/2010,17:37:30,29.9,11.5,2.96,.59, , , 
12/05/2010,17:37:45,17.9,11.3,3.05,.47, , , 
