TimeStamp,time,TotalPM,PM10,PM2.5,PM1,particles_A,P,particles
12/05/2010,08:36:44,221.7,36.8,3.53,.71, , , 
12/05/2010,08:36:59,159,25.8,3.97,.73, , , 
12/05/2010,08:37:14,159.1,34.5,3.86,.64, , , 
12/05/2010,08:37:29,90.1,30.9,3.38,.64, , , 
12/05/2010,08:37:44,149.8,37.1,4.37,.76, , , 
12/05/2010,08:37:59,216.4,41.8,4.57,.67, , , 
12/05/2010,08:38:14,179.1,43.3,3.8,.81, , , 
12/05/2010,08:38:29,270.3,61.3,4.74,.84, , , 
12/05/2010,08:38:44,472,64.8,5.29,1.23, , , 
12/05/2010,08:38:59,188.3,51.8,5.73,1.05, , , 
12/05/2010,08:39:14,242.9,70.9,27.13,6.95, , , 
12/05/2010,08:39:29,389.8,182.4,39.93,7.08, , , 
12/05/2010,08:39:44,75.3,55.8,21.28,1.83, , , 
12/05/2010,08:39:59,29.8,26.8,12.48,1.8, , , 
12/05/2010,08:40:14,22.1,21.4,12.79,1.58, , , 
12/05/2010,08:40:29,20.5,7.1,3.2,.57, , , 
12/05/2010,08:40:44,27.3,12.1,2.81,.66, , , 
12/05/2010,08:40:59,13,5.9,2.7,.52, , , 
12/05/2010,08:41:14,14.9,10.9,2.37,.51, , , 
12/05/2010,08:41:29,18.7,8.2,2.5,.55, , , 
12/05/2010,08:41:44,21.4,6.4,2.09,.46, , , 
12/05/2010,08:41:59,27.5,8.1,2.11,.5, , , 
12/05/2010,08:42:14,26.4,7.8,2.67,.59, , , 
12/05/2010,08:42:29,22.5,8,2.28,.62, , , 
12/05/2010,08:42:44,25,8.6,2.45,.57, , , 
12/05/2010,08:42:59,17.9,13.3,2.82,.62, , , 
12/05/2010,08:43:14,22.6,8,2.7,.5, , , 
12/05/2010,08:43:29,9,8,2.31,.52, , , 
12/05/2010,08:43:44,54.1,14.6,2.48,.51, , , 
12/05/2010,08:43:59,48,11.1,3.11,.66, , , 
12/05/2010,08:44:14,13.1,10,3.04,.83, , , 
12/05/2010,08:44:29,7.9,7,3.15,.79, , , 
12/05/2010,08:44:44,13.3,10.7,3.95,.9, , , 
12/05/2010,08:44:59,37.3,19.1,3.26,.8, , , 
12/05/2010,08:45:14,22.2,7.9,2.81,.79, , , 
12/05/2010,08:45:29,31.2,13.8,3.92,.89, , , 
12/05/2010,08:45:44,16.3,13,3.32,.69, , , 
12/05/2010,08:45:59,10.7,8.9,3,.6, , , 
12/05/2010,08:46:14,9.6,8.1,2.69,.73, , , 
12/05/2010,08:46:29,11.9,9.8,3.02,.72, , , 
12/05/2010,08:46:44,18.8,14.2,3.18,.74, , , 
12/05/2010,08:46:59,10,7.8,2.75,.61, , , 
