TimeStamp,time,TotalPM,PM10,PM2.5,PM1,particles_A,P,particles
10/05/2010,09:13:21,80.9,31.1,6.82,1.14, , , 
10/05/2010,09:13:36,72.4,28.1,7.08,1.34, , , 
10/05/2010,09:13:51,116.6,35.5,6.2,1.25, , , 
10/05/2010,09:14:06,132.6,37.7,6.8,1.28, , , 
10/05/2010,09:14:21,20.1,16.9,5.48,1.07, , , 
10/05/2010,09:14:36,54.3,21,5.1,1.1, , , 
10/05/2010,09:14:51,40.7,28.3,6.77,1.37, , , 
10/05/2010,09:15:06,47.2,29.1,7.81,1.83, , , 
10/05/2010,09:15:21,24.7,21.4,5.33,1.2, , , 
10/05/2010,09:15:36,24.2,20.5,5.34,1.27, , , 
10/05/2010,09:15:51,23.9,20.7,5.71,1.11, , , 
10/05/2010,09:16:06,37.9,27.6,4.82,1.2, , , 
10/05/2010,09:16:21,48.1,26.5,6.11,1.27, , , 
10/05/2010,09:16:36,53.3,20.6,5.84,1.29, , , 
10/05/2010,09:16:51,93.2,39.1,7.06,1.52, , , 
10/05/2010,09:17:06,40.4,27.4,6.02,1.21, , , 
10/05/2010,09:17:21,35.1,23.2,5.16,1.07, , , 
10/05/2010,09:17:36,149.1,35.8,8.01,1.37, , , 
10/05/2010,09:17:51,71.8,32.6,6.89,1.29, , , 
10/05/2010,09:18:06,35.8,19.2,5.79,1.16, , , 
10/05/2010,09:18:21,42.2,22.8,5.92,1.19, , , 
10/05/2010,09:18:36,61.5,32.3,7.22,1.26, , , 
10/05/2010,09:18:51,36.6,18.5,6.01,1.13, , , 
10/05/2010,09:19:06,24.2,18.7,5.15,1.23, , , 
10/05/2010,09:19:21,31.6,16.2,6.09,1.28, , , 
10/05/2010,09:19:36,50.4,32,8.24,1.93, , , 
10/05/2010,09:19:51,41.8,24.8,8.31,1.86, , , 
10/05/2010,09:20:06,33,24.7,5.82,1.26, , , 
10/05/2010,09:20:21,26.1,21.9,6.12,1.35, , , 
10/05/2010,09:20:36,21.4,17.7,5.52,1.2, , , 
10/05/2010,09:20:51,43.3,22.6,6.17,1.35, , , 
10/05/2010,09:21:06,41.9,23.5,5.65,1.18, , , 
10/05/2010,09:21:21,116.3,45.3,6.49,1.24, , , 
10/05/2010,09:21:36,58,34.1,10.63,2.92, , , 
10/05/2010,09:21:51,74.7,47.3,12.24,3.52, , , 
10/05/2010,09:22:06,66,31.6,7.77,1.71, , , 
10/05/2010,09:22:21,35.6,19.4,7.49,1.88, , , 
10/05/2010,09:22:36,33.1,18.1,6.72,1.54, , , 
10/05/2010,09:22:51,32.4,25.5,6.79,1.64, , , 
10/05/2010,09:23:06,33.3,25.1,5.52,1.36, , , 
10/05/2010,09:23:21,41,31.9,7.16,1.62, , , 
10/05/2010,09:23:36,36.9,23.2,5.69,1.35, , , 
10/05/2010,09:23:51,34.6,23.6,6.17,1.2, , , 
10/05/2010,09:24:06,43.9,31.2,6.8,1.28, , , 
10/05/2010,09:24:21,64.4,36.1,6.81,1.47, , , 
